"Title","Other titles","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"Memoires and portraits, memoirs of himself, selections from his notebook","","010876797","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","Works of Robert Louis Stevenson","volume 21 [Works of Robert Louis Stevenson]","","","Heinemann","1924","Tusitala edition","","","W17/0603 ; X10/5812","","","English","",""
"Memoirs of himself","","003501422","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person] ; Widener, Harry Elkins, 1885-1912 [person]","","","United States of America","Philadelphia","","1912","","27 pages (4°)","","Tab.444.b.2","","","English","Only 45 copies printed",""
"Memories & Portraits","","003501423","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","","","England","London","Chatto & Windus","1887","","x, 299 pages (8°)","","12357.bb.41","","","English","",""
"Memories & Portraits","","010876515","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","","","","","Chatto & Windus","1900","9th edition","","","W78/7913","","","English","",""
"Memories & portraits","","013110972","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","","","England","London","Chatto & Windus","1900","Ninth edition","x, 299, 1 page, 20 cm","","RB.23.a.28161","","","English","Printer's name from colophon ; With a half-title",""
"Memories and Portraits","","003501424","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","","","United States of America","New York","Charles Scribner","1887","","","","011421.v.30","","","English","",""
"Memories and Portraits","","003501425","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","'Nelson's Classics","","England","London","","1925","","281 pages (8°)","","012207.c.1 ; 012629.e.41","","","English","",""
"Memories and Portraits","","010876511","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","","","England","London","Chatto & Windus","1900","9th edition","","","X12/7412","","","English","",""
"Memories and Portraits","","010876518","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","","","","","Chatto & Windus","1910","Fine-paper Edition","","","W23/4878","","","English","",""
"Memories and Portraits","","010876519","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","","","","","Chatto & Windus","1912","Fine-paper edition","","","W17/8475","","","English","",""
"Memories and Portraits","","010876521","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","","","England","London","Chatto & Windus","1919","","","","W57/3322","","","English","",""
"Memories and Portraits","","010876523","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","","","","","Chatto & Windus","1919","","","824.8","824.8 *1820*","","","English","",""
"Memories and portraits : memoirs of himself selections from his notebook","","010876510","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","","","England","London","Heinemann","1924","","","","X17/8980","","","English","",""
"Memories and portraits : memoirs of himself selections from his notebook","","010876513","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","Tusitala, edition","29 [Tusitala, edition]","","","Heinemann","","","","","W13/6852","","","English","",""
"Memories and portraits : memoirs of himself selections from his notebook","","010876522","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","The works of R. L. Stevenson, Tusitala edition","volume 29 [The works of R. L. Stevenson, Tusitala edition]","","","Cassell ; Chatto & Windus ; Heinemann ; Longmans Green","1924","Tusitala edition","","","W18/0076","","","English","",""
"Memories and portraits : other essays and reminiscences","Prose works. Selections","010876799","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","Works of Robert Louis Stevenson","volume 25 [Works of Robert Louis Stevenson]","","","Heinemann","1925","Skerryvore edition","","","W20/9812","","","English","",""
"Memories and portraits","","010740542","Monograph","Language material ; Text","Volume","GB9003582","","9780862672737","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","","","Scotland","Glasgow","Drew","1990","","207 pages, 20 cm","828.809","YC.1990.a.7545","English literature--Stevenson, Robert Louis--1850-1894--Biographies ; Stevenson, Robert Louis, 1850-1894","","English","Originally published: London : Chatto and Windus, 1887",""
"Memories and portraits","","010876514","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","","","","","","1898","8th edition","","","W7/6443","","","English","",""
"Memories and portraits","","010876516","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","The St. Martin's Library","","","","Chatto & Windus","1906","Fine Paper edition","","820","W22/6452","","","English","",""
